GMIFC,TYPE,PRODTYP,PROMPT,DESC,LONGDESC,SPANCOMM,CFTCFC,Concat,Category
DW,O, , ,CME MBTWEDW3O ,CME MICRO BITCOIN WEDNESDAY WEEK3 OPTION,W3C       ,W3C  ,9C/DW/O,Micro
DX,O, , ,CME MBTWEDW4O ,CME MICRO BITCOIN WEDNESDAY WEEK4 OPTION,W4C       ,W4C  ,9C/DX/O,Micro
DY,O, , ,CME MBTWEDW5O ,CME MICRO BITCOIN WEDNESDAY WEEK5 OPTION,W5C       ,W5C  ,9C/DY/O,Micro
DZ,O, , ,CME MBTFRIW1O ,CME MICRO BITCOIN FRIDAY WEEK1 OPTION   ,W1E       ,W1E  ,9C/DZ/O,Micro
D6,O, , ,CME MBTFRIW2O ,CME MICRO BITCOIN FRIDAY WEEK2 OPTION   ,W2E       ,W2E  ,9C/D6/O,Micro
D7,O, , ,CME MBTFRIW3O ,CME MICRO BITCOIN FRIDAY WEEK3 OPTION   ,W3E       ,W3E  ,9C/D7/O,Micro
D8,O, , ,CME MBTFRIW4O ,CME MICRO BITCOIN FRIDAY WEEK4 OPTION   ,W4E       ,W4E  ,9C/D8/O,Micro
EA,O, , ,CME METMONW1O ,CME MICRO ETHER MONDAY WEEK1 OPTION     ,V1A       ,V1A  ,9C/EA/O,Micro
EB,O, , ,CME METMONW2O ,CME MICRO ETHER MONDAY WEEK2 OPTION     ,V2A       ,V2A  ,9C/EB/O,Micro
EC,O, , ,CME METMONW3O ,CME MICRO ETHER MONDAY WEEK3 OPTION     ,V3A       ,V3A  ,9C/EC/O,Micro
ED,O, , ,CME METMONW4O ,CME MICRO ETHER MONDAY WEEK4 OPTION     ,V4A       ,V4A  ,9C/ED/O,Micro
EE,O, , ,CME METMONW5O ,CME MICRO ETHER MONDAY WEEK5 OPTION     ,V5A       ,V5A  ,9C/EE/O,Micro
EF,O, , ,CME METWEDW1O ,CME MICRO ETHER WEDNESDAY WEEK1 OPTION  ,V1C       ,V1C  ,9C/EF/O,Micro
EH,O, , ,CME METWEDW2O ,CME MICRO ETHER WEDNESDAY WEEK2 OPTION  ,V2C       ,V2C  ,9C/EH/O,Micro
EI,O, , ,CME METWEDW3O ,CME MICRO ETHER WEDNESDAY WEEK3 OPTION  ,V3C       ,V3C  ,9C/EI/O,Micro
EJ,O, , ,CME METWEDW4O ,CME MICRO ETHER WEDNESDAY WEEK4 OPTION  ,V4C       ,V4C  ,9C/EJ/O,Micro
